"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","[403]FORBIDDEN - Get analysis port list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ANALYSIS_PORTS","",""
"","44","[403]FORBIDDEN - Get all ports list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORTS_ALL","",""
"","30","[412]PRECONDITION_FAILED - Update nonexistent analysis port ","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ANALYSIS_PORTS","",""
"","36","[403]FORBIDDEN - Update egress group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","EGRESS_GROUPS","",""
"","38","[403]FORBIDDEN - Get psf format list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_FORMAT","",""
"","25","[200]OK - Get analysis port list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","ANALYSIS_PORTS","",""
"","16","[403]FORBIDDEN - Delete port by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORTS","",""
"","31","[403]FORBIDDEN - Delete all filters by authorised user","Packet Broker","2026-02-09","skipped","2026-02-09","Delete entity","FILTERS","",""
"","30","[200]OK - Update additional filters","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","ADDITIONAL_FILTERS","",""
"","21","[200]OK - Update port status","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","PORT_STATUS","",""
"","38","[403]FORBIDDEN - Delete egress group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","EGRESS_GROUPS","",""
"","29","[403]FORBIDDEN - Get psf mirror filter list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_MIRROR_FILTER","",""
"","22","[412]PRECONDITION_FAILED - Create already creating selection group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","SELECTIONS","",""
"","25","[200]OK - Delete all filters","Packet Broker","2026-02-09","skipped","2026-02-09","Delete entity","FILTERS","",""
"","38","[200]OK - Delete ingress group","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","INGRESS_GROUPS","",""
"","35","[403]FORBIDDEN - Get selections list by unauthenticated user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","SELECTIONS","",""
"","492","[412]PRECONDITION_FAILED - Upload my ""broken"" custom config to the switch","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","CUSTOM_CONFIG","",""
"","109","[200]OK - Delete loopback port speed limits","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","LOOPBACK_PORTS","",""
"","58","[412]PRECONDITION_FAILED - Update nonexistent mirroring group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","MIRRORING","",""
"","53","[412]PRECONDITION_FAILED - Create already creating psf format","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_FORMAT","",""
"","275","[412]PRECONDITION_FAILED - Create additional filters without direction","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ADDITIONAL_FILTERS","",""
"","19","[200]OK - Get psf dmac","Packet Broker","2026-02-09","passed","2026-02-09","Get entity","PSF_DMAC","",""
"","32","[200]OK - Get mirror filter list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","MIRROR_FILTER","",""
"","29","[200]OK - Delete egress group","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","EGRESS_GROUPS","",""
"","34","[403]FORBIDDEN - Saving actual custom config by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","CUSTOM_CONFIG","",""
"","69","[200]OK - Create egress group","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","EGRESS_GROUPS","",""
"","40","[403]FORBIDDEN - Apply nodes config by unauthenticated user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","NODES","",""
"","52","[403]FORBIDDEN - Create loopback port speed limits by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","LOOPBACK_PORTS","",""
"","29","[412]PRECONDITION_FAILED - Create already creating egress group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","EGRESS_GROUPS","",""
"","15","[412]PRECONDITION_FAILED - Create configured ports with incorrect json in body","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORTS","",""
"","17","[403]OK - Delete mirror filter by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","MIRROR_FILTER","",""
"","61","[200]OK - Create analysis port","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","ANALYSIS_PORTS","",""
"","79","[200]OK - Delete mirroring group","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","MIRRORING","",""
"","19","[403]FORBIDDEN - Delete selection group by unauthenticated user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","SELECTIONS","",""
"","39","[403]OK - Create mirror filter by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","MIRROR_FILTER","",""
"","32","[412]PRECONDITION_FAILED - Create already creating mirroring group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","MIRRORING","",""
"","37","[200]OK - Delete nodes config","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","NODES","",""
"","79","[200]OK - Create balancing group","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","BALANCING","",""
